TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
RTT,FREDERIC BERTHE,DES DAMES,75017,RUE DES DAMES 75017 Paris France,"48.883753, 2.321172"
RTT,FREDERIC BERTHE,NOLLET,75017,RUE NOLLET 75017 Paris France,
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,BASSES DU QUAI DES GRANDS AUGUSTINS,75006,BERGES BASSES DU QUAI DES GRANDS AUGUSTINS 75006 Paris France,
RTT,FREDERIC BERTHE,LEGENDRE,75017,RUE LEGENDRE 75017 Paris France,"48.887462, 2.319887"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,BASSES DU QUAI DES GRANDS AUGUSTINS,75006,BERGES BASSES DU QUAI DES GRANDS AUGUSTINS 75006 Paris France,
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,NEUF,75006,PONT NEUF 75006 Paris France,"48.856313, 2.340643"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DES GRANDS AUGUSTINS,75006,QUAI DES GRANDS AUGUSTINS 75006 Paris France,"48.854679, 2.342401"
EX,FAUSTO BRIZZI,DE BIR HAKEIM,75015,PONT DE BIR HAKEIM 75015 Paris France,"48.855712, 2.287752"
FEIERLICH TRAVELS,TOM TYKWER,DU FAUBOURG SAINT HONORE,75008,RUE DU FAUBOURG SAINT HONORE 75008 Paris France,"48.872845, 2.310735"
ERREUR DE LA BANQUE EN VOTRE FAVEUR,MICHEL MUNZ,D'ORSEL/R DES TROIS FRERES (ANGLE),75018,RUE D'ORSEL/R DES TROIS FRERES (ANGLE) 75018 Paris France,
ERREUR DE LA BANQUE EN VOTRE FAVEUR,MICHEL MUNZ,CHARLES DULLIN,75018,PLACE CHARLES DULLIN 75018 Paris France,
EX,FAUSTO BRIZZI,BLANCHE,75009,RUE BLANCHE 75009 Paris France,"48.880403, 2.331408"
EX,FAUSTO BRIZZI,D'IENA,75016,AVENUE D'IENA 75016 Paris France,"48.867013, 2.295524"
LE PETIT NICOLAS,LAURENT TIRARD,DE NAVARRE,75005,RUE DE NAVARRE 75005 Paris France,"48.844357, 2.353011"
LES HERBES FOLLES,ALAIN RESNAIS,DES CHAMPS ELYSEES,75008,AVENUE DES CHAMPS ELYSEES 75008 Paris France,"48.869576, 2.30825"
LES HERBES FOLLES,ALAIN RESNAIS,DES CHAMPS ELYSEES,75008,ROND POINT DES CHAMPS ELYSEES 75008 Paris France,"48.869012, 2.309055"
EX,FAUSTO BRIZZI,DU CHAMP DE MARS,75007,PARC DU CHAMP DE MARS 75007 Paris France,"48.856315, 2.297387"
